aa_objects.object_number,aa_tracks.track_num,aa_detections.image_file,aa_detections.mid_det_utc,aa_detections.mid_det_et,aa_detections.ra,aa_detections.dec,aa_detections.ra_sig,aa_detections.dec_sig,aa_detections.mag,aa_detections.mag_sig,aa_detections.snr,aa_detections.psf_fit_quality,aa_detections.is_saturated,aa_detections.q_code,aa_detections.possible_hot_pixel,aa_detections.possible_star,aa_detections.occulting
2,11,20190120T213335S170_ncm_L0.fits,2019-01-20T21:33:37.670Z,601292086.854484,329.016791575966,25.2046287758473,0.00160222976438977,0.0013935271804483501,3.88575364109143,0.08781607858148689,20.218451237089496,0.473016298152516,0,5,0,0,0
2,11,20190120T212618S798_ncm_L0.fits,2019-01-20T21:26:21.298Z,601291650.482484,328.184477851697,24.6109587553667,0.00127638818868152,0.00114420836435291,3.7405610689092,0.08550377255069601,21.789269477103197,1.15161529701875,0,5,0,0,0
2,11,20190120T210334S977_ncm_L0.fits,2019-01-20T21:03:37.477Z,601290286.661484,325.264068120241,23.1590705211442,0.00220905083169776,0.00206748004693768,3.8880271448769497,0.106625588627646,13.424304344817799,1.54962625617888,0,5,0,0,0
2,8,20190123T010335S134_ncm_L0.fits,2019-01-23T01:03:37.634Z,601477486.818543,340.219701365372,-12.600933022679499,0.00182464736369902,0.00178906805211091,4.054820653919229,0.0964536990384152,16.2294816937157,1.11456308035446,0,5,0,0,0
2,8,20190123T005619S064_ncm_L0.fits,2019-01-23T00:56:21.564Z,601477050.748543,340.161089846883,-11.6472995158109,0.00187024015258993,0.00178554270369917,4.13446986340829,0.0990361828538323,15.3848739337069,1.69409140433794,0,5,0,0,0
3,28,20190120T080335S001_ncm_L0.fits,2019-01-20T08:03:37.501Z,601243486.685469,350.798641253134,-32.612595418397696,0.00471185700891443,0.00414979929266655,4.72208763014559,0.157495167340332,7.68155521132025,1.04591936466315,0,4,0,0,0
3,28,20190120T075618S978_ncm_L0.fits,2019-01-20T07:56:21.478Z,601243050.662468,351.91967363303803,-32.7946682542429,0.0046679743794004,0.00452743088797652,4.74035817348097,0.170850847616338,6.9559185056971495,1.4351014077882,0,4,0,0,0
3,28,20190120T073334S648_ncm_L0.fits,2019-01-20T07:33:37.148Z,601241686.332468,355.717395901607,-33.386624056949096,0.00463974880035632,0.00380881380755795,4.70250370071971,0.17920777860224602,6.572485411121069,1.96325039278009,0,4,0,0,0
3,28,20190120T072619S125_ncm_L0.fits,2019-01-20T07:26:21.625Z,601241250.809468,356.99318961336104,-33.5589832374013,0.0049983638331209,0.00450596628852052,4.66854432452972,0.194166687066783,5.98815511824103,2.2314064336231296,0,4,0,0,0
3,28,20190120T070334S788_ncm_L0.fits,2019-01-20T07:03:37.288Z,601239886.472467,1.26049742244304,-34.1459552293234,0.00618656501670643,0.0058920766775895405,4.5822577929,0.19556802425306702,5.9390224453855796,4.90479552922455,0,4,0,0,0
3,28,20190120T065619S299_ncm_L0.fits,2019-01-20T06:56:21.799Z,601239450.983467,2.6894120354699798,-34.3221128905684,0.007294820448376511,0.0058236963122927305,4.81551212409411,0.265717946087776,4.2332105573457595,9.994540136110128,0,3,0,0,0
3,28,20190120T063334S931_ncm_L0.fits,2019-01-20T06:33:37.431Z,601238086.615467,7.439657410968359,-34.9645091647742,0.00375361730695324,0.0033209430488422,4.557948489038219,0.143492998604371,8.647742597888419,1.23455266024606,0,4,0,0,0
3,28,20190120T062619S360_ncm_L0.fits,2019-01-20T06:26:21.860Z,601237651.044467,9.02482382867324,-35.1732232365248,0.00391782654019058,0.0035823313350076503,4.56172558258438,0.13511412430234102,9.36934429705614,1.48249939026643,0,4,0,0,0
3,28,20190120T060335S070_ncm_L0.fits,2019-01-20T06:03:37.570Z,601236286.754466,14.3147502001881,-35.9508475225351,0.00287068818284282,0.00229372749598991,4.4925778804451895,0.11276178580803,12.225077888675498,0.733869841802286,0,5,0,0,0
3,28,20190120T055619S054_ncm_L0.fits,2019-01-20T05:56:21.554Z,601235850.738466,16.0853342300829,-36.22217767366789,0.0028735761967538303,0.00260073569078794,4.54903067573972,0.112586255211376,12.2558494249328,0.740768254031804,0,5,0,0,0
