object_number,total_det,t_beg,t_end,delta_t,rms,arc_len,n_det,n_rej,spice_id,epoch,x,y,z,vx,vy,vz,cov_vx_vx,cov_vx_vy,cov_vx_vz,cov_vy_vy,cov_vy_vz,cov_vz_vz,cov_x_vx,cov_x_vy,cov_x_vz,cov_x_x,cov_x_y,cov_x_z,cov_y_vx,cov_y_vy,cov_y_vz,cov_y_y,cov_y_z,cov_z_vx,cov_z_vy,cov_z_vz,cov_z_z,gm_bennu,sma,ecc,inc,arg_peri,lon_asc_node,mean_anom,peri_r,apo_r,t_peri,period,amr,amr_sig,abs_mag,abs_mag_sig,g12,g12_sig,albedo,albedo_sig,eject_epoch,eject_epoch_sig,eject_lat,eject_lat_sig,eject_lon,eject_lon_sig,eject_lst,eject_r,eject_vx,eject_vy,eject_vz,impact_epoch,impact_epoch_sig,impact_lat,impact_lat_sig,impact_lon,impact_lon_sig,impact_lst,impact_r,impact_vx,impact_vy,impact_vz,lifetime
1,107,2019-01-19T02:03:37.527Z,2019-01-24T12:56:21.417Z,471163.89,0.0749037399742803,471163.889999986,107,0,-64000001,601408800,0.11658830625000001,0.6598333911,-0.8775169677400001,0.000041737655427000004,0.000045906214931,0.000018347142134,2.09612362049089e-15,-7.604155156734091e-16,7.67309549856961e-16,1.76405158754923e-15,-6.79392404928998e-16,2.73785229946299e-15,6.673412506013501e-12,-1.1273713933960301e-11,1.3002216116979202e-11,3.42673632689307e-7,-4.8471898977904394e-8,1.27736627766727e-7,-2.25882895514248e-12,2.9503447151662802e-12,-7.24077997041307e-12,1.8720249073906098e-7,-2.99379293064236e-8,1.0925125344385602e-11,-8.325699191800361e-12,2.05777622209068e-11,3.09811891608555e-7,4.890449674617609e-9,1.04655991133262,0.27198534283666204,87.9206489860581,341.704085682683,33.396329124547805,86.3977293067758,0.761910955049709,1.33120886761552,-23086.146196794398,96194.8039321236,0.049126746365076,0.00017515,42.84,0.13,,,,,,,,,,,,,,,,601633448.604,178.692703711628,57.437375977097396,4.7162074014049296,139.083802792889,4.34580160105109,229.841666666667,0.23423322618680198,0.206127492441893,-0.0056162389059770095,0.059231202243065,
2,185,2019-01-20T08:26:21.674Z,2019-01-24T12:33:37.385Z,360435.711,0.0542451587273945,360435.711000085,185,0,-64000002,601473600,-0.046575046915,-0.29687794295000003,0.31091096559000003,-0.000069140139547,-0.00004302983844999999,-0.000061725270117,2.16134998978903e-15,-9.336966754070689e-17,-4.2844843512276502e-16,1.83603047657105e-15,-7.10070305520446e-17,1.08968198176047e-15,-3.1679752259428103e-12,-7.85863399688076e-12,3.93201013699047e-12,8.083770265599609e-8,9.97417369304696e-9,5.24677535072754e-9,-1.6681788218512302e-12,-3.6094096534331003e-12,6.71198571166e-13,2.41911269719857e-8,1.14114935720094e-8,3.0021314701149002e-12,-1.28815916382945e-12,2.3631183464580603e-12,2.80146543153062e-8,4.890449674617609e-9,0.40164557512820903,0.105189672139495,82.8357343063735,63.879054401883096,37.7200755924701,227.41496373253702,0.359396608764194,0.443894541492224,-14447.2932519497,22870.199415808198,0.0376341513389317,0.00023416,41.58,0.14,,,,,601241062.143,133.28535576834,-81.82927607187119,0.143318092735335,-142.486151967865,1.71948854449711,168.80416666666702,0.24115416887837401,0.0180871947442167,-0.148406132976307,0.0143824211316037,601625905.08,43.1546528084326,84.43172852643859,0.229685274684476,26.280726452596898,13.3436515109792,301.33750000000003,0.24997453652784,-0.08392844236499321,0.124580347038647,0.008193706713793,384842.937000036
3,92,2019-01-18T08:26:21.375Z,2019-01-20T22:26:21.235Z,223199.86000000002,0.0709200463582535,223199.860000014,92,0,-64000003,601205760,0.26248827583,0.35727536813,0.09131491776600001,0.000090520319624,-0.000042552745653000006,-0.000039080985450999995,1.0377803098816799e-14,5.3542262954846904e-15,-1.5877212841512901e-16,6.20147573259463e-15,-8.56783276149793e-16,2.9236773197634604e-15,-3.9428972784577704e-11,-2.72650928531636e-11,2.91143084895019e-12,1.94214192359849e-7,1.73313062386295e-8,-2.69486793891703e-8,-1.5515870959558503e-11,-2.45755433664263e-12,7.62357302747346e-13,8.057554064415431e-8,1.8237407671505998e-9,5.0314497373131305e-12,7.0067484167160904e-12,1.29100968551184e-12,7.458351021948099e-8,4.890449674617609e-9,0.486491354571876,0.123702174659742,15.380042015997,357.65559093473104,147.272149098206,49.9124796423072,0.426311316058171,0.54667139308558,-4226.92757727701,30487.2436457734,0.064049077697658,0.00030605,42.9,0.25,,,,,601068823.953,66.52757393060051,5.90374434636862,0.109808690536684,160.961122847701,0.221832029762284,60.462500000000006,0.267239732894592,-0.019158197940767903,-0.0435588465965773,0.050281512482654604,601297664.829,41.822670493096496,9.28327759217123,0.08646174028465249,98.3197276060992,0.237292175646404,288.004166666667,0.26749090813840304,-0.0488051581875047,-0.0287593143312357,0.0401584959980811,228840.876000047
4,75,2019-01-25T23:03:37.812Z,2019-01-27T13:03:37.374Z,136799.562,0.131481539150643,136799.562000036,75,0,-64000004,601826180.766,0.23077390208,0.30634160204,-0.078705878016,-0.00007769580581,0.00007130808339999999,-0.000044592217713999995,3.90076886414648e-15,-1.59841968441811e-17,2.09158958032096e-16,3.0096096586240602e-15,-4.33560114610202e-16,2.17847761391362e-15,1.5194646526566303e-11,5.268823953027021e-12,8.2924363985161e-13,9.946729336700691e-8,-3.10223489268312e-8,2.78654759266796e-8,7.735366756897029e-13,-1.08523432859061e-11,4.6963321769104904e-12,6.07172122934526e-8,-1.68412832825795e-8,1.89514800523907e-12,5.0833756162663e-12,-1.0887260235653601e-12,4.1198428548134e-8,4.890449674617609e-9,0.411489473111024,0.172459007744216,128.113407662131,324.28569206585996,257.323141902558,64.1830829837798,0.340524406881107,0.482454539340942,-4228.25955410836,23716.115971925,0.0900551669865929,0.0004819,43.46,0.45,,,,,601694565.273,71.5764826692672,-3.3021602068708096,1.81361575254168,143.810341789142,1.20778144469273,218.095833333333,0.26709680726814905,0.0863313200363892,0.18030437250096298,-0.127358600054837,601893037.491,240.65460608527502,-21.906726388709398,1.47220806895999,100.22637979478701,1.0401178597046798,117.3,0.245412467282289,0.173087934526744,0.0815080348553129,0.130022671502413,198472.21800005398
5,11,2019-01-18T05:26:21.340Z,2019-01-18T08:03:37.421Z,9436.081,0.204525473201342,9436.080999970442,11,0,-64000005,601065000,-0.40685097593999997,-0.15587946479,-0.023690132606999998,-0.000034123569172999996,0.000034815156106,0.000070820362198,6.0635877129532e-13,-7.01079363389753e-13,1.71407954279582e-13,8.294508854300009e-13,-2.1437232199506e-13,1.0289440668491099e-13,-1.9397489775644503e-9,2.1893280335797503e-9,-3.68364499427287e-10,0.0000069195708200667405,-0.00000870305195350725,0.00000515787962837899,2.36100395706495e-9,-2.6484907289895997e-9,3.98423187656222e-10,0.000011368311698959099,-0.00000667691816413551,-1.3857839684518e-9,1.58242134210466e-9,-2.29029569751897e-10,0.000004266085156566629,4.890449674617609e-9,0.325860787387778,0.37916622599732197,32.82613462351819,35.1868330005268,223.220067654604,143.66651295534402,0.202305382433438,0.449416192342118,-6669.70576179634,16712.969674380598,0.163595879996145,0.03294,43.99,0.49,,,,,601060415.129,18.209468748743298,27.5415207471188,0.711269953025218,103.28530947582601,1.3530909855715199,166.92916666666702,0.248051244028655,-0.0623010720980886,0.0601285256693528,-0.00282955100119778,601073369.569,101.925642836494,-13.057023587636499,0.748070616390742,4.454280448330739,0.424022238131344,9.83333333333333,0.262896682531448,-0.0233024693909897,0.024864732456205,0.0836481001544074,12954.4400000572
6,12,2018-12-10T03:33:42.854Z,2018-12-10T20:20:10.626Z,60387.772,0.0890466298335911,60387.77199995521,12,0,-64000006,597715016,1.2115913661,1.1565478105000002,0.063716343731,0.000011985607512,-0.000010203625295,-0.0000060547572495000004,3.19127132575943e-13,-6.76128055270562e-13,-6.168502655526669e-13,1.5085105295171201e-12,1.36110750617407e-12,1.24688803681534e-12,6.03803513407586e-9,-1.44755771306054e-8,-1.27691182882233e-8,0.000170869631345526,-0.00037041937905976,-0.000365639156953506,-1.34090862375283e-8,3.26023630161585e-8,2.8782378369379998e-8,0.000850992417266699,0.000840285868410948,-1.2892586991213e-8,3.16838841984324e-8,2.79074390264441e-8,0.000839817471642169,4.890449674617609e-9,0.8830754374062499,0.8988313866000851,17.4614981596043,269.235717250202,79.93681064146601,175.698858461973,0.0893395175299138,1.6768113572825898,-36388.8740691892,74559.3612820391,0.018260118521616,0.0058841,39.67,0.39,,,,,597679576.37,344.84093525021,6.082207623275189,1.16862339762852,129.45699601617503,2.6686358467866103,287.02916666666704,0.270364443400988,-0.07866077276865201,0.120486997495345,0.052475342387476004,597752489.337,208.63171140116603,6.27099452534216,0.76696047959702,-1.9625350036906999,3.9827270231983896,53.83333333333329,0.277596625117404,-0.138632407397056,-0.0112043037075125,-0.0525390154122594,72912.9670000076
7,27,2019-02-17T02:36:25.145Z,2019-02-18T01:22:41.093Z,81975.948,0.206138096300958,81975.94799995421,27,0,-64000007,603683973,-1.0223353677,0.93619611514,0.36512181837,0.000030370141952000002,0.000020014609205,-0.000004533684485,1.72255289787308e-15,1.11828414694617e-15,9.287934549387061e-16,2.61070748121164e-15,2.03109986497211e-16,2.94302598265201e-15,-1.9588619804969603e-11,-3.92724187060229e-11,1.30825876311952e-11,0.00000230812294080048,0.00000185472067482376,0.00000262043755591097,-1.63783707692936e-11,-4.9310236575318304e-11,9.13783227600964e-12,0.00000196714062709236,0.0000017273062130398499,-1.19028684567331e-11,-3.52493183501585e-11,1.17431368999338e-11,0.0000044931290625590595,4.890449674617609e-9,0.895979978289219,0.635952695472794,27.0271489363212,181.953011082083,148.790912337307,211.46458624678903,0.326179096006534,1.4657808605718998,-44759.793569862304,76199.6416097077,0.0936558526221198,0.00081507,43.09,0.45,,,,,603638631.434,39.414981952342195,-32.46758461281689,0.400922003229091,-137.962831302217,1.01528007096812,216.3,0.237242345073981,-0.0185300507435056,-0.0963246395499151,-0.0908592848263393,,,,,,,,,,,,
8,12,2019-02-17T21:20:59.308Z,2019-02-18T01:42:20.109Z,15680.801,0.124277208822629,15680.800999999,12,0,-64000008,603718299,-0.2183528562,0.36515632728,0.27415623567,0.000073342000744,0.000037439122533,0.0000049458461330000005,7.8426806721153e-15,-1.1083529954389499e-14,2.06607692197667e-14,3.71407685949287e-14,-6.212792760376099e-14,1.23354207723485e-13,-1.6602202085697502e-11,2.86942060297086e-11,-9.40410916500642e-11,6.82474403295367e-7,-9.84993432152799e-7,0.0000018884971623874598,4.575882664379e-11,-1.9172753370678502e-11,-6.146809003047241e-11,0.00000390880450523066,-0.00000616357449410211,-9.24053111326984e-11,2.8918993599054e-11,2.18803116482451e-11,0.000010177733634434399,4.890449674617609e-9,0.391222545716699,0.294608072925432,13.536180889112499,147.22658435495,208.52195045705503,185.687718999605,0.275965225438121,0.5064798659952771,-11340.2326393035,21985.7499038907,0.0885973967163085,0.013772999999999999,43.53,0.45,,,,,603708842.706,29.378848216945897,-0.136963637346236,0.36023203494761497,32.2861187656559,0.171963787895134,221.81666666666703,0.275548260451969,0.009243934836852121,0.048820246591277504,-0.0392253798250346,603728294.992,74.619511432123,7.05497430840148,0.455596847432153,-118.130497608558,0.268942623070205,164.458333333333,0.252070658589877,0.0534434979295677,-0.013381636173968401,-0.0386905196454238,19452.2860000134
14,8,2019-02-05T07:20:59.446Z,2019-02-05T08:19:38.237Z,3518.791,0.320305940750519,3518.7910000085803,8,0,-64000014,602625018,-0.33981224688,-0.14691660171,0.020298692054000003,1.4617679913e-7,-0.0000045623912327,0.00008147213519700001,1.1503124942506402e-12,-4.8310255131368504e-12,7.47763969399618e-12,2.0811319713538604e-11,-3.2186817399851203e-11,4.99029736731876e-11,-1.1386928606432299e-10,4.895160471186119e-10,-6.52328559325812e-10,7.36258865573e-7,-0.00000171792679541269,0.00000268763921978236,2.00688524423931e-10,-6.96856712306874e-10,7.59251955868775e-10,0.000005655550787752469,-0.00000860399928024014,-2.64820205092256e-10,9.669123266755621e-10,-9.86453864436942e-10,0.000014168105949127,4.890449674617609e-9,0.24804939424265302,0.499025484008673,66.5487148017533,22.105458470999398,253.81563077401702,168.73933514763002,0.124266425222655,0.371832363262651,-5202.6733589922205,11099.737992913999,0.228108579739897,0.068465,43.47,0.47000000000000003,,,,,602621602.415,268.779086093689,38.7496481265857,3.35013324704436,168.797261459237,1.89789714034177,235.34583333333302,0.226283344375807,-0.12356548148045801,0.0363375925535465,-0.0356781009315963,602629262.417,610.953032512161,-63.4324106207611,2.89885994558239,94.3516378226617,5.38694092130894,339.316666666667,0.234056966646916,-0.0805951680357628,-0.0392092815740007,0.060507624140460195,7660.00200009346
15,66,2019-08-10T21:13:23.644Z,2019-08-11T05:10:20.325Z,28616.681,0.290567868450321,28616.6809999943,66,0,-64000015,618756037,-0.8088429661700001,0.6121383509,0.28763071508000004,0.000026206312337,0.000021396178773,0.000012595453817,9.026247559862021e-15,1.2559454961523698e-14,-7.847256074777632e-15,2.6591012115626897e-14,-1.56142366446485e-14,1.01009758763766e-14,1.72100287425997e-10,3.45378483726357e-10,-2.0953354034289601e-10,0.00000483743928557239,7.69439526936308e-7,-7.40134897479009e-7,2.9101480812953603e-11,5.16278894392884e-11,-3.21138858934594e-11,2.9105202533982405e-7,-1.3335854982209e-7,-2.5834735942524602e-11,-5.7697485010055706e-11,3.3441626740267406e-11,3.1601298188459997e-7,4.890449674617609e-9,0.614000049345521,0.721833658578377,0.8022535841764751,264.020256616981,198.185027812571,191.178946100419,0.17079414735914,1.0572059513318999,-22955.9696955767,43227.2970375449,0.198389781471071,0.0030705,44.85,0.21,,,,,618732900.91,74.4755686386194,-1.67397513345249,0.149126391037501,-154.23502060595902,1.89309288426664,326.979166666667,0.283264518832048,-0.0216407312125241,-0.06541630290239189,-0.0011301527069367899,618773348.841,9.91977002158759,1.2492524726926901,0.313669927405811,-167.010294597497,0.513263752425282,175.99166666666702,0.28030329559503797,0.121037503943209,0.0276047463904879,-0.00563683456531289,40447.9309999943
