Obj. Num.,AMR,AMR_sig,H,H_sig,a,b,p=b/a,D_equiv
175,0.093558,0.042972,43.6,0.43,0.79186,0.23533,0.29719,1.0569
181,0.06897,0.007941,43.34,0.39,0.84685,0.34991,0.41319,1.2615
182,0.13117,0.060167,44.1,0.43,0.63588,0.16269,0.25585,0.80736
183,0.11971,0.021616,43.7,0.4,0.76912,0.17456,0.22696,0.93829
188,0.12898,0.00062451,43.94,0.48,0.69618,0.16281,0.23386,0.85783
196,0.10321,0.010482,44.11,0.4,0.60172,0.22726,0.37767,0.86989
200,0.097448,0.036821,43.92,0.45,0.66495,0.23653,0.35571,0.94229
201,0.25019,0.012788,45.69,0.44,0.30307,0.087411,0.28842,0.40048
204,0.15953,0.046557,43.66,0.51,0.81127,0.12473,0.15375,0.86922
210,0.35208,0.0011992,45.56,0.49,0.33012,0.057216,0.17332,0.36811
211,0.51507,0.0039841,46.84,0.48,0.18331,0.040375,0.22026,0.2214
213,0.11971,0.00038828,44.39,0.25,0.52983,0.1942,0.36653,0.75835
215,0.10819,0.016503,44.26,0.49,0.56227,0.21881,0.38916,0.82101
218,0.18878,0.020715,45.67,0.45,0.28106,0.13489,0.47995,0.44011
221,0.2223,0.052511,45.51,0.42,0.32569,0.099735,0.30623,0.43905
223,0.16425,0.061059,45.77,0.44,0.2283,0.2283,1,0.45661
230,0.1585,0.058683,45.26,0.47,0.34102,0.15884,0.46579,0.52869
243,0.10502,0.027443,44.46,0.49,0.4873,0.24832,0.50959,0.77846
247,0.090898,0.00048727,42.91,0.1,1.1215,0.22579,0.20133,1.3146
248,0.19225,0.0088762,44.71,0.56,0.49111,0.10817,0.22026,0.59318
249,0.21415,0.0030134,44.28,0.45,0.60434,0.092916,0.15375,0.64751
251,0.14748,0.0043963,44.18,0.06,0.62425,0.14168,0.22696,0.76156
252,0.22994,0.0058569,42.95,0.48,1.1413,0.082973,0.072703,0.95265
256,0.13619,0.059237,44.93,0.48,0.39689,0.18487,0.46579,0.61531
258,0.27133,0.018349,45.14,0.46,0.40628,0.074764,0.18402,0.46218
263,0.24634,0.036311,45.81,0.56,0.28092,0.091339,0.32514,0.38634
266,0.1671,0.010822,44.67,0.45,0.48722,0.12845,0.26363,0.62482
267,0.47755,0.013587,46.64,0.56,0.19771,0.043547,0.22026,0.2388
269,0.077747,0.011515,43.38,0.28,0.85168,0.29401,0.34521,1.1949
270,0.059744,0.011063,42.96,0.52,1.0182,0.39623,0.38916,1.4867
271,0.14086,0.0070439,43.38,0.54,0.91882,0.14127,0.15375,0.98445
273,0.19198,0.00091908,44.79,0.27,0.46772,0.10938,0.23386,0.57633
279,0.42934,0.045127,45.66,0.5,0.31834,0.046097,0.14481,0.33434
283,0.25226,0.012161,45.04,0.49,0.42568,0.080718,0.18962,0.48912
285,0.093795,0.0056038,43.16,0.49,0.98158,0.22277,0.22696,1.1975
286,0.29651,0.053592,45.42,0.53,0.35283,0.068937,0.19538,0.40947
289,0.13368,0.0017829,43.74,0.22,0.76258,0.15353,0.20133,0.89388
290,0.15643,0.051417,44.36,0.42,0.57401,0.13424,0.23386,0.7073
294,0.2344,0.0084899,44.2,0.49,0.63331,0.083825,0.13236,0.6455
301,0.13324,0.063146,44.43,0.51,0.53117,0.16761,0.31554,0.72324
302,0.13217,0.0047182,44.62,0.53,0.47989,0.17589,0.36653,0.68687
303,0.13749,0.0008414,45.29,0.21,0.30049,0.23291,0.77511,0.55205
312,0.19686,0.023377,44.79,0.41,0.46768,0.10614,0.22696,0.57055
335,0.059886,0.020086,42.42,0.5,1.3595,0.35841,0.26363,1.7435
342,0.068877,0.013937,42.98,0.47,1.0512,0.3219,0.30623,1.4171
343,0.080947,0.020122,43.96,0.48,0.6004,0.33473,0.55751,0.98829
344,0.10842,0.016341,43.52,0.48,0.82819,0.19368,0.23386,1.0205
360,0.11176,0.044586,44.28,0.51,0.55571,0.20988,0.37767,0.80337
364,0.081243,0.027211,43.86,0.52,0.65307,0.31344,0.47995,1.0226
366,0.14859,0.0063792,44.18,0.46,0.61961,0.14062,0.22696,0.7559
369,0.24061,0.0074391,45.03,0.81,0.42369,0.085299,0.20133,0.49664
378,0.19284,0.059895,45.2,0.5,0.37545,0.11497,0.30623,0.50613
381,0.12089,0.026444,44,0.45,0.65755,0.17862,0.27165,0.85171
385,0.31107,0.0062886,44.92,0.4,0.4516,0.063464,0.14053,0.46957
387,0.096867,0.028204,43.61,0.47,0.78278,0.22577,0.28842,1.0344
389,0.19808,0.023146,43.72,0.45,0.79228,0.098767,0.12466,0.79156
394,0.14892,0.063501,44.55,0.44,0.50917,0.14685,0.28842,0.67282
398,0.26144,0.023801,44.11,0.45,0.67161,0.07427,0.11058,0.64473
401,0.077693,0.011213,42.66,0.43,1.2465,0.26645,0.21376,1.4906
402,0.13759,0.04531,44.33,0.44,0.5642,0.15792,0.27991,0.73813
403,0.2201,0.0056601,44.97,0.48,0.42896,0.094482,0.22026,0.51811
407,0.5663,0.014035,46.55,0.52,0.21079,0.035456,0.1682,0.23272
